"postalcode","city","country"
"35200","Sasebo","Japan"
"17886","San Bernardino","United States"
"83579","Athenai","Greece"
"53561","Myingyan","Myanmar"
"42399","Nantou","Taiwan"
"18743","Laredo","United States"
"93896","Kragujevac","Yugoslavia"
"77948","Hamilton","New Zealand"
"45844","Masqat","Oman"
"53628","Esfahan","Iran"
"1027","Sagamihara","Japan"
"10672","Yamuna Nagar","India"
"29610","Osmaniye","Turkey"
"16266","Citrus Heights","United States"
"72878","Bhopal","India"
"54308","Southend-on-Sea","United Kingdom"
"81766","Elista","Russian Federation"
"43331","Kaduna","Nigeria"
"72192","Kimberley","South Africa"
"21954","Mardan","Pakistan"
"34418","Tangail","Bangladesh"
"37551","Sal","Morocco"
"7716","Liepaja","Latvia"
"99865","Crdoba","Argentina"
"99780","Shikarpur","Pakistan"
"58327","Citt del Vaticano","Holy See (Vatican City State)"
"49521","Davao","Philippines"
"65599","Munger (Monghyr)","India"
"65750","Shimonoseki","Japan"
"50199","Lungtan","Taiwan"
"30348","Kamarhati","India"
"65213","Jhansi","India"
"79388","Alessandria","Italy"
"94065","Kurashiki","Japan"
"34021","Toulouse","France"
"38145","Arak","Iran"
"47929","Nanyang","China"
"34689","Chisinau","Moldova"
"3989","Vila Velha","Brazil"
"94399","Nador","Morocco"
"16744","Yerevan","Armenia"
"61117","Pak Kret","Thailand"
"48942","Faaa","French Polynesia"
"76022","Lipetsk","Russian Federation"
"37359","Antofagasta","Chile"
"23616","Moscow","Russian Federation"
"52535","Juazeiro do Norte","Brazil"
"69367","Niznekamsk","Russian Federation"
"74428","Jedda","Saudi Arabia"
"80168","Omdurman","Sudan"
"48150","Fontana","United States"
"4166","A Corua (La Corua)","Spain"
"38594","Nagareyama","Japan"
"48980","Iwakuni","Japan"
"57807","Balaiha","Russian Federation"
"39072","Papeete","French Polynesia"
"45428","Vaduz","Liechtenstein"
"69226","Kuching","Malaysia"
"94352","Mysore","India"
"55561","Jaipur","India"
"83980","Basel","Switzerland"
"85505","Saint Louis","United States"
"67055","Lincoln","United States"
"70385","Daxian","China"
"71110","Cayenne","French Guiana"
"96109","Malm","Sweden"
"5135","Xiangtan","China"
"48960","Shivapuri","India"
"59025","Bchar","Algeria"
"6856","al-Hawiya","Saudi Arabia"
"50805","Baybay","Philippines"
"75444","Taguig","Philippines"
"60951","Chiayi","Taiwan"
"20207","Rio Claro","Brazil"
"72394","Changhwa","Taiwan"
"98889","Pavlodar","Kazakstan"
"9223","Araatuba","Brazil"
"96709","Rae Bareli","India"
"1079","Kamakura","Japan"
"20936","Ife","Nigeria"
"37307","Mahajanga","Madagascar"
"9495","Simferopol","Ukraine"
"74671","Springs","South Africa"
"67912","Atlixco","Mexico"
"88002","Bradford","United Kingdom"
"84931","Songkhla","Thailand"
"29932","Sincelejo","Colombia"
"82624","Cheju","South Korea"
"75543","La Plata","Argentina"
"25958","Meixian","China"
"52163","Bandar Seri Begawan","Brunei"
"17119","Goinia","Brazil"
"49021","Zalantun","China"
"53182","Bislig","Philippines"
"22870","Pathankot","India"
"30695","Augusta-Richmond County","United States"
"71986","Tete","Mozambique"
"92265","al-Ayn","United Arab Emirates"
"51540","Kimchon","South Korea"
"97287","Jelets","Russian Federation"
"77459","Abha","Saudi Arabia"
"49708","Ashdod","Israel"
"3305","Ilorin","Nigeria"
"80720","Toulon","France"
"76383","Funafuti","Tuvalu"
"78311","Ivanovo","Russian Federation"
"9599","Merlo","Argentina"
"93026","Huixquilucan","Mexico"
"30418","Klerksdorp","South Africa"
"61069","Enshi","China"
"75834","Caracas","Venezuela"
"87057","Lancaster","United States"
"10885","Cuman","Venezuela"
"24321","Duisburg","Germany"
"75149","Nezahualcyotl","Mexico"
